,code,name
480,KR7012160008,영흥
481,KR7015360001,예스코홀딩스
482,KR7007310006,오뚜기
483,KR7002630002,오리엔트바이오
484,KR7271560005,오리온
485,KR7001800002,오리온홀딩스
486,KR7037270006,YG PLUS
487,KR7316140003,우리금융지주
488,KR7033660002,우리금융캐피탈
489,KR7004720009,우리들제약
490,KR7118000009,우리들휴브레인
491,KR7010050003,우리종금
492,KR7006980007,우성사료
493,KR7017370008,우신시스템
494,KR7105840003,우진
495,KR7010400000,우진아이엔에스
496,KR7049800006,우진플라임
497,KR7016880007,웅진
498,KR7095720009,웅진씽크빅
499,KR7005820006,원림
500,KR7010600005,웰바이오텍
501,KR7008600009,윌비스
502,KR7014830004,유니드
503,KR7047400007,유니온머티리얼
504,KR7000910000,유니온
505,KR7011330008,유니켐
506,KR7077500007,유니퀘스트
507,KR7002920007,유성기업
508,KR7000700005,유수홀딩스
509,KR7003470002,유안타증권
510,KR7011690005,유양디앤유
511,KR7072130008,유엔젤
512,KR7000220004,유유제약
513,KR7001200005,유진투자증권
514,KR7000100008,유한양행
515,KR7003460003,유화증권
516,KR7008730004,율촌화학
517,KR7008250003,이건산업
518,KR7025820002,이구산업
519,KR7214320004,이노션
520,KR7088260005,이리츠코크렙
521,KR7139480008,이마트
522,KR7007660004,이수페타시스
523,KR7005950001,이수화학
524,KR7015020001,이스타코
525,KR7093230001,이아이디
526,KR7074610007,이엔플러스
527,KR7102460003,이연제약
528,KR7084680008,이월드
529,KR7350520003,이지스레지던스리츠
530,KR7334890001,이지스밸류리츠
531,KR7000760009,이화산업
532,KR7014990006,인디에프
533,KR7101140002,인바이오젠
534,KR7006490007,인스코비
535,KR7023800006,인지컨트롤스
536,KR7034590000,인천도시가스
537,KR7129260006,인터지스
538,KR7023810005,인팩
539,KR7249420001,일동제약
540,KR7000230003,일동홀딩스
541,KR7013360003,일성건설
542,KR7003120003,일성신약
543,KR7003200003,일신방직
544,KR7007110000,일신석재
545,KR7007570005,일양약품
546,KR7008500001,일정실업
547,KR7081000002,일진다이아
548,KR7020760005,일진디스플
549,KR7020150009,일진머티리얼즈
550,KR7103590006,일진전기
551,KR7015860000,일진홀딩스
552,KR7226320000,잇츠한불
553,KR7317400000,자이에스앤디
554,KR7033240003,자화전자
555,KR7000950006,전방
556,KR7348950007,제이알글로벌리츠
557,KR7194370003,제이에스코퍼레이션
558,KR7025620006,제이준코스메틱
559,KR7036420008,제이콘텐트리
560,KR7030000004,제일기획
561,KR7271980005,제일약품
562,KR7001560002,제일연마
563,KR7002620003,제일파마홀딩스
564,KR7006220008,제주은행
565,KR7089590004,제주항공
566,KR7004910006,조광페인트
567,KR7004700001,조광피혁
568,KR7001550003,조비
569,KR7000480004,조선내화
570,KR7120030002,조선선재
571,KR7018470005,조일알미늄
572,KR7002600005,조흥
573,KR7063160006,종근당바이오
574,KR7185750007,종근당
575,KR7001630003,종근당홀딩스
576,KR7070960000,용평리조트
577,KR7023450000,동남합성
578,KR7002380004,KCC
579,KR7044380004,주연테크
580,KR7024110009,기업은행
581,KR7013890009,지누스
582,KR7001250000,GS글로벌
583,KR7007070006,GS리테일
584,KR7013870001,지엠비코리아
585,KR7071320006,지역난방공사
586,KR7010580009,지코
587,KR7035000009,지투알
588,KR7088790001,진도
589,KR7003780004,진양산업
590,KR7010640001,진양폴리
591,KR7100250000,진양홀딩스
592,KR7051630002,진양화학
593,KR7272450008,진에어
594,KR7011000007,진원생명과학
595,KR7002780005,진흥기업
596,KR7009310004,참엔지니어링
597,KR7000650002,천일고속
598,KR7033250002,체시스
599,KR7035720002,카카오
600,KR7006380000,카프로
601,KR7109070003,컨버즈
602,KR7001620004,케이비아이동국실업
603,KR7009440009,KC그린홀딩스
604,KR7029460003,케이씨
605,KR7344820006,케이씨씨글라스
606,KR7119650000,KC코트렐
607,KR7281820001,케이씨텍
608,KR7044450005,KSS해운
609,KR7092220003,KEC
610,KR7145270005,케이탑리츠
611,KR7030200000,KT
612,KR7030210009,KTB투자증권
613,KR7053210001,스카이라이프
614,KR7058850009,KTcs
615,KR7058860008,KTis
616,KR7033780008,KT&G
617,KR7357120005,코람코에너지리츠
618,KR700781K015,코리아써키트2우B
619,KR7007810005,코리아써키트
620,KR7003690005,코리안리
621,KR7192820009,코스맥스
622,KR7044820009,코스맥스비티아이
623,KR7005070008,코스모신소재
624,KR7005420005,코스모화학
625,KR7071950000,코아스
626,KR7003070000,코오롱글로벌
627,KR7144620002,코오롱머티리얼
628,KR7002020006,코오롱
629,KR7120110002,코오롱인더
630,KR7138490008,코오롱플라스틱
631,KR7021240007,코웨이
632,KR7031820004,콤텍시스템
633,KR7192400000,쿠쿠홀딩스
634,KR7284740008,쿠쿠홈시스
635,KR7015590003,큐로
636,KR726490K013,크라운제과우
637,KR7264900002,크라운제과
638,KR7005740006,크라운해태홀딩스
639,KR7020120002,키다리스튜디오
640,KR7039490008,키움증권
641,KR7012170007,키위미디어그룹
642,KR7014580005,태경비케이
643,KR7015890007,태경산업
644,KR7006890008,태경케미컬
645,KR7003240009,태광산업
646,KR7011280005,태림포장
647,KR7004100004,태양금속
648,KR7009410002,태영건설
649,KR7001420009,태원물산
650,KR7007980006,태평양물산
651,KR7055490007,테이팩스
652,KR7078000007,텔코웨어
653,KR7214420002,토니모리
654,KR7019180009,티에이치엔
655,KR736328K013,티와이홀딩스우
656,KR7363280009,티와이홀딩스
657,KR7091810002,티웨이항공
658,KR7004870002,티웨이홀딩스
659,KR7005690003,파미셀
660,KR7036580009,팜스코
661,KR7028670008,팬오션
662,KR7010820009,퍼스텍
663,KR7016800005,퍼시스
664,KR7001020007,페이퍼코리아
665,KR7090080003,평화산업
666,KR7010770006,평화홀딩스
667,KR7058430000,포스코강판
668,KR7005490008,POSCO
669,KR7047050000,포스코인터내셔널
670,KR7003670007,포스코케미칼
671,KR7007630007,폴루스바이오팜
672,KR7017810003,풀무원
673,KR7103140000,풍산
674,KR7005810007,풍산홀딩스
675,KR7033180001,필룩스
676,KR7086790003,하나금융지주
677,KR7293480000,하나제약
678,KR7039130000,하나투어
679,KR7172580003,하이골드12호
680,KR7153360003,하이골드3호
681,KR7071090005,하이스틸
682,KR7019490002,하이트론
683,KR7000080002,하이트진로
684,KR7000140004,하이트진로홀딩스
685,KR7036460004,한국가스공사
686,KR7005430004,한국공항
687,KR7010040004,한국내화
688,KR7025540006,한국단자
689,KR7096300009,베트남개발1
690,KR7004090007,한국석유
691,KR7002200004,한국수출포장
692,KR7002960003,한국쉘석유
693,KR7000240002,한국앤컴퍼니
694,KR7033270000,유나이티드제약
695,KR7123890006,한국자산신탁
696,KR7015760002,한국전력
697,KR7052690005,한전기술
698,KR7006200000,한국전자홀딩스
699,KR7009540006,한국조선해양
700,KR7023350002,한국종합기술
701,KR7025890005,한국주강
702,KR7000970004,한국주철관
703,KR7104700000,한국철강
704,KR7017960006,한국카본
705,KR7161890009,한국콜마
706,KR7024720005,한국콜마홀딩스
707,KR7161390000,한국타이어앤테크놀로지
708,KR7034830000,한국토지신탁
709,KR7152550000,한국ANKOR유전
710,KR7168490001,한국패러랠
711,KR7071050009,한국금융지주
712,KR7007280001,한국특수형강
713,KR7010100006,한국프랜지
714,KR7047810007,한국항공우주
715,KR7123690000,한국화장품
716,KR7003350006,한국화장품제조
717,KR7011500006,한농화성
718,KR7002390003,한독
719,KR7014790000,한라
720,KR7060980000,한라홀딩스
721,KR7053690004,한미글로벌
722,KR7042700005,한미반도체
723,KR7008930000,한미사이언스
724,KR7128940004,한미약품
725,KR7009240003,한샘
726,KR7020000006,한섬
727,KR7003680006,한성기업
728,KR7105630008,한세실업
729,KR7069640001,한세엠케이
730,KR7016450009,한세예스24홀딩스
731,KR7010420008,한솔PNS
732,KR7009180001,한솔로지스틱스
733,KR7213500002,한솔제지
734,KR7014680003,한솔케미칼
735,KR7004710000,한솔테크닉스
736,KR7004150009,한솔홀딩스
737,KR7025750001,한솔홈데코
738,KR7004960001,한신공영
739,KR7011700002,한신기계
740,KR7001750009,한양증권
741,KR7018880005,한온시스템
742,KR7009420001,한올바이오파마
743,KR7014130009,한익스프레스
744,KR7300720000,한일시멘트
745,KR7002220002,한일철강
746,KR7006390009,한일현대시멘트
747,KR7003300001,한일홀딩스
748,KR7051600005,한전KPS
749,KR7130660004,한전산업
750,KR7002320000,한진
751,KR7097230007,한진중공업
752,KR7003480001,한진중공업홀딩스
